date,open,high,low,close,volume,dividends,splits
2013-09-23,19.25,19.5,19.25,19.4,87200,0,0
2013-09-24,21.0,23.0,21.0,22.9,65000,0,0
2013-09-25,24.0,24.0,21.95,23.05,118400,0,0
2013-09-26,23.1,24.5,23.1,24.5,192400,0,0
2013-09-27,24.75,26.25,24.65,25.5,193700,0,0
2013-09-30,26.5,26.5,25.0,25.0,32200,0,0
2013-10-01,25.5,25.75,25.25,25.65,160800,0,0
2013-10-02,25.65,26.05,25.5,25.65,27800,0,0
2013-10-03,25.5,28.0,25.5,28.0,22200,0,0
2013-10-04,27.0,28.12,27.0,28.05,136000,0,0
2013-10-07,29.0,30.0,28.75,29.0,10200,0,0
2013-10-08,29.0,29.0,28.0,28.0,7800,0,0
2013-10-09,27.5,27.5,26.5,27.0,4400,0,0
2013-10-10,26.9,27.5,26.9,27.0,10800,0,0
2013-10-11,27.5,27.5,26.75,27.0,81200,0,0
2013-10-14,27.5,27.5,25.5,25.5,0,0,0
2013-10-15,25.5,26.75,25.5,26.0,5600,0,0
2013-10-16,26.5,26.5,25.55,25.75,1200,0,0
2013-10-17,26.5,27.25,25.55,25.55,0,0,0
2013-10-18,26.0,26.0,24.64,25.05,0,0,0
2013-10-21,25.0,25.25,24.5,24.5,18800,0,0
2013-10-22,24.25,24.5,23.5,23.5,78200,0,0
2013-10-23,24.5,24.5,23.05,23.25,104000,0,0
2013-10-24,24.0,24.0,23.0,23.11,89200,0,0
2013-10-25,23.0,23.0,22.8,22.8,40600,0,0
2013-10-28,22.8,23.0,22.5,22.75,12600,0,0
2013-10-29,22.75,23.5,22.0,22.62,108800,0,0
2013-10-30,23.25,25.0,23.25,24.8,78800,0,0
2013-10-31,24.9,26.75,24.25,26.0,247000,0,0
2013-11-01,26.3,27.5,25.05,26.25,75700,0,0
2013-11-04,26.52,27.0,26.52,26.9,49500,0,0
2013-11-05,27.0,27.0,26.5,26.9,35500,0,0
2013-11-06,27.03,27.03,25.75,26.0,14000,0,0
2013-11-07,25.65,25.8,24.95,25.21,19200,0,0
2013-11-08,25.0,25.5,24.9,25.24,71200,0,0
2013-11-11,25.3,25.4,25.25,25.4,5600,0,0
2013-11-12,25.4,25.5,24.8,24.8,17200,0,0
2013-11-13,25.2,25.42,24.62,24.74,19400,0,0
2013-11-14,24.75,24.84,24.57,24.74,14600,0,0
2013-11-15,24.49,24.6,24.32,24.45,36400,0,0
2013-11-18,24.41,24.53,23.35,23.76,18600,0,0
2013-11-19,23.55,23.97,23.5,23.7,23800,0,0
2013-11-20,23.4,23.55,23.23,23.46,9100,0,0
2013-11-21,23.09,23.6,23.08,23.23,22700,0,0
2013-11-22,23.44,23.44,22.9,23.02,22500,0,0
2013-11-25,22.99,23.6,22.97,23.2,10200,0,0
2013-11-26,22.77,24.94,22.76,24.62,139400,0,0
2013-11-27,24.87,25.58,24.84,25.35,12500,0,0
2013-11-29,25.1,26.88,24.8,26.48,58400,0,0
2013-12-02,26.69,27.41,26.5,26.96,179700,0,0
2013-12-03,26.75,26.95,26.37,26.89,25600,0,0
2013-12-04,26.96,28.23,26.8,27.66,185800,0,0
2013-12-05,27.39,27.5,26.7,27.0,66400,0,0
2013-12-06,26.99,27.0,25.9,26.51,90200,0,0
2013-12-09,25.46,26.9,25.46,26.27,61100,0,0
2013-12-10,26.51,27.45,26.07,27.43,87700,0,0
2013-12-11,27.16,28.1,26.71,27.7,154600,0,0
2013-12-12,27.84,28.58,27.51,28.19,313100,0,0
2013-12-13,28.44,29.5,28.41,29.3,244000,0,0
2013-12-16,29.4,32.33,29.4,32.25,538500,0,0
2013-12-17,32.02,32.95,31.09,32.1,261100,0,0
2013-12-18,32.66,34.61,32.21,32.98,299600,0,0
2013-12-19,33.33,34.35,32.89,33.91,278000,0,0
2013-12-20,33.91,34.51,32.75,32.86,1030600,0,0
2013-12-23,33.3,34.2,31.81,32.06,98300,0,0
2013-12-24,31.8,32.83,31.8,32.35,14400,0,0
2013-12-26,32.51,33.49,32.28,33.42,39100,0,0
2013-12-27,33.33,33.68,32.17,33.68,41900,0,0
2013-12-30,33.81,33.81,33.06,33.41,65800,0,0
2013-12-31,33.01,34.71,33.0,34.71,167600,0,0
2014-01-02,34.41,34.41,32.8,34.02,153700,0,0
2014-01-03,33.8,33.8,31.95,32.9,119900,0,0
2014-01-06,32.68,34.42,32.68,34.27,54000,0,0
2014-01-07,34.14,37.15,34.14,36.3,150900,0,0
2014-01-08,36.4,37.73,36.4,37.2,57700,0,0
2014-01-09,37.4,37.69,36.95,37.2,28600,0,0
2014-01-10,36.96,37.45,36.3,36.88,37500,0,0
2014-01-13,36.2,36.74,34.44,34.5,42100,0,0
2014-01-14,34.8,35.04,33.78,34.25,63500,0,0
2014-01-15,34.3,34.3,32.81,32.99,30800,0,0
2014-01-16,33.0,33.11,32.1,32.3,36700,0,0
2014-01-17,32.17,33.19,31.76,32.36,34100,0,0
2014-01-21,32.4,33.25,32.38,32.44,30600,0,0
2014-01-22,32.49,32.59,32.04,32.39,16900,0,0
2014-01-23,32.1,32.25,31.5,31.96,34100,0,0
2014-01-24,31.64,31.96,29.84,30.3,49000,0,0
2014-01-27,30.11,30.58,29.68,29.95,52800,0,0
2014-01-28,29.35,29.93,29.35,29.89,27400,0,0
2014-01-29,29.65,30.25,29.5,29.67,34300,0,0
2014-01-30,29.77,29.95,29.04,29.17,35400,0,0
2014-01-31,29.0,29.09,27.86,28.17,46500,0,0
2014-02-03,28.63,28.71,27.55,28.0,46400,0,0
2014-02-04,28.0,28.52,27.54,28.48,45200,0,0
2014-02-05,28.5,29.89,28.26,28.46,56400,0,0
2014-02-06,28.5,28.7,27.84,28.51,13100,0,0
2014-02-07,28.5,29.4,28.5,28.95,14300,0,0
2014-02-10,28.83,29.04,28.75,28.92,7100,0,0
2014-02-11,28.77,29.59,28.77,29.2,21700,0,0
2014-02-12,29.11,29.25,28.75,28.81,16500,0,0
2014-02-13,28.82,30.23,28.68,29.79,85100,0,0
2014-02-14,29.81,30.17,29.47,30.15,30100,0,0
2014-02-18,29.82,30.08,29.65,29.76,11000,0,0
2014-02-19,29.65,29.97,29.39,29.74,20500,0,0
2014-02-20,29.77,30.15,29.58,30.0,11500,0,0
2014-02-21,29.32,30.12,29.31,30.11,13700,0,0
2014-02-24,29.95,30.9,29.84,30.33,24600,0,0
2014-02-25,30.21,30.5,29.82,30.37,11900,0,0
2014-02-26,30.18,30.5,30.07,30.49,29800,0,0
2014-02-27,30.5,30.64,29.75,30.18,28600,0,0
2014-02-28,30.06,30.3,29.44,29.97,19400,0,0
2014-03-03,29.64,30.0,29.18,29.92,15100,0,0
2014-03-04,29.89,30.6,28.0,28.53,155300,0,0
2014-03-05,28.11,28.91,27.26,28.18,35700,0,0
2014-03-06,27.93,27.93,26.81,27.61,69100,0,0
2014-03-07,27.41,28.02,26.86,27.99,121400,0,0
2014-03-10,27.9,27.98,26.87,27.74,80700,0,0
2014-03-11,27.05,28.0,27.05,27.23,36200,0,0
2014-03-12,26.94,27.44,26.31,27.2,143800,0,0
2014-03-13,27.35,27.35,26.46,26.69,38900,0,0
2014-03-14,26.47,26.47,25.65,26.03,86300,0,0
2014-03-17,25.65,26.25,25.46,26.16,168700,0,0
2014-03-18,26.2,27.49,25.6,27.14,100200,0,0
2014-03-19,27.5,29.06,27.0,27.6,121900,0,0
2014-03-20,27.49,27.75,26.63,27.47,133300,0,0
2014-03-21,27.41,28.92,27.0,28.73,453200,0,0
2014-03-24,28.02,28.82,26.99,27.59,60500,0,0
2014-03-25,26.21,28.21,26.21,27.46,43900,0,0
2014-03-26,27.42,28.76,27.02,27.44,142900,0,0
2014-03-27,27.42,28.8,26.43,28.31,268300,0,0
2014-03-28,28.48,31.67,28.21,31.47,172700,0,0
2014-03-31,31.55,33.74,31.36,33.4,129700,0,0
2014-04-01,33.2,33.83,32.51,33.0,261700,0,0
2014-04-02,32.9,33.23,31.91,33.0,131600,0,0
2014-04-03,33.15,33.5,32.39,33.31,166600,0,0
2014-04-04,33.32,34.15,32.85,33.49,254900,0,0
2014-04-07,33.53,34.94,33.0,34.21,257300,0,0
2014-04-08,34.3,34.3,30.4,30.42,136200,0,0
2014-04-09,30.79,31.57,30.49,30.65,72000,0,0
2014-04-10,30.69,32.54,30.69,32.15,211500,0,0
2014-04-11,32.18,32.18,29.96,30.45,32300,0,0
2014-04-14,30.41,31.07,29.48,29.88,89700,0,0
2014-04-15,29.71,30.49,28.69,29.28,63100,0,0
2014-04-16,29.52,30.37,29.52,30.12,72600,0,0
2014-04-17,29.92,30.88,29.7,30.64,67300,0,0
2014-04-21,30.19,30.44,28.9,29.41,57600,0,0
2014-04-22,29.29,29.69,28.71,29.65,85900,0,0
2014-04-23,29.62,29.81,28.76,29.42,81000,0,0
2014-04-24,29.66,30.41,28.82,29.97,74400,0,0
2014-04-25,29.69,30.79,29.69,29.95,120400,0,0
2014-04-28,30.16,30.17,29.67,30.04,129600,0,0
2014-04-29,29.99,30.22,29.86,30.08,47200,0,0
2014-04-30,29.85,30.24,29.57,29.87,115700,0,0
2014-05-01,29.71,30.17,29.71,30.06,42000,0,0
2014-05-02,30.05,30.48,29.73,30.37,90000,0,0
2014-05-05,30.12,30.52,29.2,29.92,137600,0,0
2014-05-06,30.05,30.28,28.65,29.91,2154600,0,0
2014-05-07,29.9,30.84,27.13,28.26,126400,0,0
2014-05-08,28.42,28.42,26.34,26.57,219100,0,0
2014-05-09,26.38,27.24,25.43,25.43,125400,0,0
2014-05-12,25.44,26.28,25.05,25.13,122700,0,0
2014-05-13,25.1,25.92,25.05,25.29,64200,0,0
2014-05-14,25.44,26.44,24.93,26.07,164800,0,0
2014-05-15,25.95,26.48,25.4,25.74,117500,0,0
2014-05-16,25.75,26.95,25.75,26.81,126600,0,0
2014-05-19,26.83,27.27,26.41,26.8,72000,0,0
2014-05-20,26.5,27.19,25.75,26.65,84000,0,0
2014-05-21,26.87,27.79,25.99,26.86,215300,0,0
2014-05-22,26.95,27.32,26.58,26.8,44700,0,0
2014-05-23,27.3,27.3,26.85,27.09,61400,0,0
2014-05-27,27.16,27.28,26.77,27.06,81700,0,0
2014-05-28,26.95,27.26,26.77,27.06,62100,0,0
2014-05-29,27.0,28.25,26.99,27.68,221900,0,0
2014-05-30,27.65,29.06,27.65,28.68,181800,0,0
2014-06-02,28.59,29.54,28.39,29.0,60300,0,0
2014-06-03,29.05,29.5,28.54,29.1,168300,0,0
2014-06-04,28.81,29.96,28.81,29.75,113100,0,0
2014-06-05,29.41,29.94,28.53,29.7,151500,0,0
2014-06-06,29.57,30.2,29.15,29.62,63300,0,0
2014-06-09,29.4,29.99,28.89,29.39,63100,0,0
2014-06-10,29.7,29.7,28.33,28.6,60500,0,0
2014-06-11,28.64,29.58,27.55,28.7,100700,0,0
2014-06-12,28.7,29.23,28.64,28.98,131100,0,0
2014-06-13,29.17,29.98,28.05,28.59,104200,0,0
2014-06-16,28.95,28.95,26.86,27.04,174900,0,0
2014-06-17,27.04,27.9,26.4,26.67,85900,0,0
2014-06-18,26.51,27.19,26.21,26.89,49500,0,0
2014-06-19,27.21,27.21,26.06,26.47,96000,0,0
2014-06-20,26.43,27.63,26.26,27.41,179100,0,0
2014-06-23,27.2,27.54,26.8,27.33,93900,0,0
2014-06-24,27.07,27.3,26.47,26.77,101200,0,0
2014-06-25,26.5,26.6,25.29,25.58,117700,0,0
2014-06-26,25.8,25.93,25.06,25.18,137900,0,0
2014-06-27,25.27,26.68,25.11,25.5,1886500,0,0
2014-06-30,25.29,25.3,23.71,24.47,303100,0,0
2014-07-01,24.47,24.47,23.85,24.02,198800,0,0
2014-07-02,23.93,25.03,23.93,24.8,108500,0,0
2014-07-03,24.79,24.96,24.51,24.84,42300,0,0
2014-07-07,24.68,24.73,24.2,24.45,69300,0,0
2014-07-08,24.3,24.51,24.07,24.32,85500,0,0
2014-07-09,24.24,24.24,23.91,24.0,82600,0,0
2014-07-10,23.61,24.25,23.59,24.01,102600,0,0
2014-07-11,23.88,24.19,23.74,24.0,59900,0,0
2014-07-14,24.03,24.19,23.9,23.98,105200,0,0
2014-07-15,24.0,24.25,23.95,24.08,98200,0,0
2014-07-16,24.08,24.17,24.03,24.07,41300,0,0
2014-07-17,24.0,24.13,24.0,24.05,74600,0,0
2014-07-18,24.0,25.05,24.0,24.97,98400,0,0
2014-07-21,24.84,25.66,24.76,25.6,114200,0,0
2014-07-22,25.62,26.44,25.56,26.19,83500,0,0
2014-07-23,26.28,26.57,26.07,26.32,55000,0,0
2014-07-24,26.3,26.3,24.45,25.57,2073200,0,0
2014-07-25,25.4,26.48,24.98,26.02,160000,0,0
2014-07-28,26.1,26.3,25.25,25.45,156400,0,0
2014-07-29,25.45,25.56,25.09,25.44,92300,0,0
2014-07-30,25.61,26.0,24.61,24.7,50700,0,0
2014-07-31,24.47,24.47,23.41,23.64,91700,0,0
2014-08-01,23.67,23.69,23.21,23.65,73900,0,0
2014-08-04,23.6,23.6,22.85,23.04,73400,0,0
2014-08-05,22.86,23.43,22.53,22.99,80400,0,0
2014-08-06,22.8,23.1,22.05,22.16,55700,0,0
2014-08-07,22.11,22.29,21.91,22.03,27400,0,0
2014-08-08,22.0,22.39,21.98,22.28,48900,0,0
2014-08-11,22.19,22.43,22.0,22.22,74500,0,0
