date,open,high,low,close,volume,dividends,splits
2019-09-05,9.85,9.85,9.78,9.85,500500,0,0
2019-09-06,9.85,9.85,9.85,9.85,0,0,0
2019-09-09,9.85,9.85,9.85,9.85,0,0,0
2019-09-10,9.82,9.82,9.82,9.82,250000,0,0
2019-09-11,10.0,10.05,10.0,10.05,700,0,0
2019-09-12,9.9,9.9,9.89,9.89,600,0,0
2019-09-13,9.89,9.89,9.89,9.89,0,0,0
2019-09-16,9.89,9.89,9.89,9.89,0,0,0
2019-09-17,9.85,9.85,9.77,9.8,15200,0,0
2019-09-18,9.8,9.8,9.8,9.8,0,0,0
2019-09-19,9.8,9.8,9.8,9.8,0,0,0
2019-09-20,9.8,9.8,9.8,9.8,0,0,0
2019-09-23,9.8,9.8,9.8,9.8,0,0,0
2019-09-24,9.8,9.85,9.8,9.85,181900,0,0
2019-09-25,9.85,9.85,9.85,9.85,0,0,0
2019-09-26,9.85,9.85,9.85,9.85,0,0,0
2019-09-27,9.85,9.85,9.85,9.85,0,0,0
2019-09-30,9.85,9.85,9.85,9.85,0,0,0
2019-10-01,9.85,9.85,9.85,9.85,0,0,0
2019-10-02,9.85,9.85,9.85,9.85,0,0,0
2019-10-03,9.85,9.9,9.83,9.89,129000,0,0
2019-10-04,9.89,9.89,9.89,9.89,0,0,0
2019-10-07,9.89,9.89,9.89,9.89,0,0,0
2019-10-08,9.84,9.84,9.84,9.84,150000,0,0
2019-10-09,9.84,9.84,9.84,9.84,0,0,0
2019-10-10,9.84,9.84,9.84,9.84,0,0,0
2019-10-11,9.83,9.84,9.83,9.84,255100,0,0
2019-10-14,9.83,9.83,9.83,9.83,300,0,0
2019-10-15,9.83,9.83,9.83,9.83,0,0,0
2019-10-16,9.83,9.83,9.83,9.83,0,0,0
2019-10-17,9.84,9.85,9.83,9.84,293000,0,0
2019-10-18,9.83,9.83,9.83,9.83,600000,0,0
2019-10-21,9.83,9.83,9.83,9.83,0,0,0
2019-10-22,9.89,10.25,9.83,9.97,12600,0,0
2019-10-23,9.91,9.95,9.84,9.95,1500,0,0
2019-10-24,10.11,10.11,9.83,9.9,1100,0,0
2019-10-25,9.9,9.9,9.9,9.9,0,0,0
2019-10-28,9.85,9.85,9.85,9.85,298800,0,0
2019-10-29,9.89,9.89,9.89,9.89,200,0,0
2019-10-30,9.83,9.83,9.83,9.83,5000,0,0
2019-10-31,9.84,9.84,9.83,9.83,179900,0,0
2019-11-01,9.84,9.84,9.84,9.84,5000,0,0
2019-11-04,9.84,9.84,9.84,9.84,100,0,0
2019-11-05,9.86,9.86,9.86,9.86,100,0,0
2019-11-06,9.86,9.86,9.86,9.86,0,0,0
2019-11-07,9.86,9.86,9.86,9.86,0,0,0
2019-11-08,9.84,9.84,9.84,9.84,10000,0,0
2019-11-11,9.84,9.84,9.84,9.84,0,0,0
2019-11-12,9.84,9.84,9.84,9.84,0,0,0
2019-11-13,9.84,9.84,9.84,9.84,0,0,0
2019-11-14,9.84,9.84,9.84,9.84,0,0,0
2019-11-15,9.84,9.84,9.84,9.84,0,0,0
