date,open,high,low,close,volume,dividends,splits
2019-04-11,18.05,19.99,18.05,19.1,6296600,0,0
2019-04-12,19.3,21.0,19.29,21.0,1516800,0,0
2019-04-15,21.74,21.98,20.51,20.6,1028900,0,0
2019-04-16,21.0,21.33,20.6,21.25,642400,0,0
2019-04-17,23.5,23.6,20.1,22.5,1071100,0,0
2019-04-18,22.16,23.12,21.83,22.03,384000,0,0
2019-04-22,22.03,23.37,22.0,22.84,526000,0,0
2019-04-23,22.84,24.89,22.8,23.0,480700,0,0
2019-04-24,23.16,24.27,23.0,24.27,254900,0,0
2019-04-25,24.35,24.75,24.0,24.24,350600,0,0
2019-04-26,24.25,24.65,22.16,23.0,422900,0,0
2019-04-29,23.2,23.8,22.26,22.45,360200,0,0
2019-04-30,22.45,22.96,21.9,22.42,316900,0,0
2019-05-01,22.32,22.39,21.5,21.6,264900,0,0
2019-05-02,21.75,21.88,19.77,21.42,409200,0,0
2019-05-03,21.69,22.76,21.06,22.3,172000,0,0
2019-05-06,21.79,23.32,21.46,22.8,235000,0,0
2019-05-07,23.04,23.67,22.61,22.98,148000,0,0
2019-05-08,22.86,23.48,22.39,22.39,148500,0,0
2019-05-09,22.09,22.31,21.6,21.8,141000,0,0
2019-05-10,21.7,22.3,21.36,22.13,89200,0,0
2019-05-13,21.89,21.95,21.2,21.5,141100,0,0
2019-05-14,21.52,22.7,21.25,22.27,103700,0,0
2019-05-15,22.13,24.22,21.66,23.79,382000,0,0
2019-05-16,24.1,24.3,23.11,23.39,229700,0,0
2019-05-17,23.19,23.62,22.65,23.06,108300,0,0
2019-05-20,23.0,23.62,22.2,22.24,130300,0,0
2019-05-21,22.49,23.44,22.3,22.54,44600,0,0
2019-05-22,22.7,23.04,22.39,22.63,62200,0,0
2019-05-23,22.39,22.41,20.85,21.5,170900,0,0
2019-05-24,21.5,21.81,21.35,21.52,76900,0,0
2019-05-28,21.62,21.8,21.42,21.54,77500,0,0
2019-05-29,21.5,21.86,21.25,21.85,60800,0,0
2019-05-30,21.99,22.49,21.57,22.29,81100,0,0
2019-05-31,22.03,22.57,21.85,22.5,111300,0,0
